browser_id,time_on_site,timestamp,isp,geonetworkcity,date,totals.uniquescreenviews,totals.timeonscreen,hits.isinteraction,hits.promotionactioninfopromoisclick,totals.screenviews,trafficsourcemedium,trafficsourcerefferalpath,device.browser,device.devicecategory,device.mobiledevicebranding,device.operatingsystem,device.ismobile,device.screenresolution,promo_category,totalspageviews,account_id
1000369,57,22:26,'comcastbusiness.net',Cikarang,2020-02-02,4,29,1,1,7,Social,google.com,UC browser,mobile,apple,ios,1,1440 x 2960,insurance,7,100000000055
1000125,50,11:40,'verizon.net',Verkhniye Achaluki,2020-02-20,3,17,0,0,5,Social,linkedin.com,firefox,laptop,samsung,ubuntu,0,800 x 1280,insurance,9,100000000056
1000288,142,8:30,'hinet.net',Longshan,2020-02-07,3,50,1,0,8,Paid,linkedin.com,UC browser,laptop,samsung,ubuntu,0,1200 x 1920,credit_card,6,100000000057
1000175,563,0:23,'cox.net',Dieppe,2020-02-07,2,25,0,0,5,Direct,linkedin.com,safari,mobile,apple,ios,1,1440 x 2560,accounts,3,100000000058
1000148,317,6:37,'att.net',Provo,2020-02-23,4,21,0,0,8,Organic,linkedin.com,opera,mobile,lenovo,android,1,1080 x 1920,deposits,7,100000000059
1000345,456,7:29,'comcast.net',Casal da Serra,2020-01-25,2,72,0,1,7,Refferal,google.com,chrome,laptop,lenovo,ubuntu,0,1536 x 2048,loan,4,100000000060
1000375,538,14:51,'hinet.net',Miskindzha,2020-02-18,5,94,1,1,6,Affiliates,youtube.com,brave,tablet,apple,ios,0,1366x768,accounts,7,100000000061
1000144,181,17:20,'comcast.net',Montpellier,2020-02-21,4,91,1,1,9,Direct,linkedin.com,firefox,mobile,lenovo,android,1,1080 x 1920,credit_card,1,100000000062
1000274,309,14:24,'hinet.net',Baolong,2020-01-20,1,42,0,0,8,Affiliates,linkedin.com,UC browser,tablet,samsung,android,0,1920x1080,deposits,1,100000000063
1000238,235,0:46,'cox.net',Maghār,2020-01-07,1,87,0,1,9,Display,google.com,UC browser,mobile,apple,ios,1,1080 x 1920,loan,8,100000000064
1000029,304,13:17,'comcastbusiness.net',Liujiagou,2020-01-26,4,68,0,0,8,Direct,linkedin.com,chromium,mobile,apple,ios,1,1440 x 2960,accounts,6,100000000065
1000311,88,23:54,'comcast.net',Pār Naogaon,2020-02-17,2,93,1,1,8,Paid,facebook.com,brave,mobile,micromax,android,1,1080 x 1920,credit_card,1,100000000066
1000024,478,16:56,'cox.net',Komorów,2020-02-14,2,75,0,0,9,Direct,facebook.com,safari,tablet,micromax,android,0,1280x800,insurance,3,100000000067
1000233,407,7:51,'hinet.net',Irbit,2020-02-01,5,63,0,1,7,Refferal,linkedin.com,chromium,tablet,apple,ios,0,1366x768,deposits,8,100000000068
1000334,127,17:16,'comcastbusiness.net',Mengzhai,2020-02-10,4,65,1,0,5,Paid,youtube.com,chrome,laptop,apple,mac-os,0,1536 x 2048,accounts,1,100000000069
1000034,12,12:10,'comcastbusiness.net',Victoria West,2020-01-07,1,73,1,1,9,Refferal,youtube.com,edge,tablet,samsung,android,0,1920x1080,credit_card,5,100000000070
1000139,596,17:26,'comcast.net',Hayil,2020-01-07,3,7,1,1,8,Display,facebook.com,opera,tablet,micromax,android,0,1280x800,accounts,8,100000000071
1000256,413,12:34,'comcast.net',Chasŏng,2020-02-18,1,79,0,1,9,Paid,linkedin.com,chrome,mobile,micromax,android,1,1440 x 2960,accounts,9,100000000072
1000284,251,4:42,'comcast.net',Guangfu,2020-02-08,5,92,0,1,6,Social,google.com,chromium,mobile,lenovo,android,1,1440 x 2960,insurance,10,100000000073
1000325,456,8:15,'verizon.net',Oriximiná,2020-02-03,5,61,1,1,7,Direct,youtube.com,brave,mobile,micromax,android,1,1440 x 2560,accounts,2,100000000074
1000368,294,15:56,'verizon.net',Airmadidi,2020-02-22,2,20,0,0,8,Direct,google.com,opera,tablet,micromax,android,0,1366x768,accounts,2,100000000075
1000268,543,10:02,'comcastbusiness.net',Boise,2020-01-10,1,94,0,1,6,Refferal,linkedin.com,chrome,laptop,lenovo,ubuntu,0,800 x 1280,insurance,9,100000000076
1000090,395,17:43,'comcast.net',Potou,2020-02-17,4,58,0,1,9,Affiliates,facebook.com,chromium,mobile,samsung,android,1,1080 x 1920,loan,10,100000000077
1000273,379,0:02,'cox.net',Llano de Piedra,2020-01-14,4,27,0,0,10,Paid,youtube.com,UC browser,tablet,lenovo,android,0,1920x1080,deposits,5,100000000078
1000371,241,18:03,'cox.net',Monkayo,2020-01-21,2,50,1,0,10,Affiliates,facebook.com,UC browser,laptop,lenovo,ubuntu,0,1536 x 2048,loan,7,100000000079
1000152,337,14:11,'comcastbusiness.net',Rockford,2020-01-19,2,76,1,1,6,Paid,youtube.com,opera,tablet,apple,ios,0,1280x800,deposits,2,100000000080
1000323,324,3:57,'comcast.net',Kass Wollof,2020-01-08,5,65,1,0,8,Display,google.com,chromium,mobile,apple,ios,1,1440 x 2560,insurance,1,100000000081
1000085,263,21:30,'verizon.net',Āstārā,2020-03-01,5,74,0,1,7,Affiliates,youtube.com,brave,laptop,micromax,ubuntu,0,1200 x 1920,accounts,4,100000000082
1000159,313,17:23,'att.net',Talghar,2020-01-05,1,9,0,1,5,Refferal,facebook.com,chromium,tablet,samsung,android,0,1366x768,credit_card,8,100000000083
1000281,208,21:50,'att.net',Sanjiangkou,2020-01-28,5,6,0,1,10,Affiliates,facebook.com,safari,laptop,apple,mac-os,0,1536 x 2048,accounts,2,100000000084
1000069,556,4:01,'hinet.net',Tsaghkahovit,2020-02-29,1,86,0,1,8,Affiliates,linkedin.com,UC browser,tablet,apple,ios,0,1366x768,accounts,3,100000000085
1000034,293,13:32,'hinet.net',Rado,2020-02-14,3,9,1,0,7,Paid,linkedin.com,safari,laptop,apple,mac-os,0,800 x 1280,loan,4,100000000086
1000145,497,18:37,'cox.net',Melaka,2020-01-03,1,17,1,1,6,Organic,facebook.com,safari,mobile,lenovo,android,1,1080 x 1920,accounts,5,100000000087
1000195,408,2:28,'hinet.net',Sainte-Sophie,2020-01-15,3,7,0,0,8,Social,google.com,edge,mobile,lenovo,android,1,1440 x 2960,insurance,6,100000000088
1000068,270,13:42,'att.net',East End,2020-01-28,5,65,1,1,10,Affiliates,facebook.com,chrome,tablet,lenovo,android,0,1366x768,loan,3,100000000089
1000013,449,13:03,'verizon.net',Gilowice,2020-02-20,2,12,0,0,9,Social,youtube.com,UC browser,laptop,lenovo,windows,0,800 x 1280,insurance,8,100000000090
1000118,270,5:22,'comcast.net',Los Angeles,2020-02-29,4,2,1,1,10,Refferal,google.com,brave,laptop,apple,mac-os,0,1200 x 1920,insurance,1,100000000091
1000196,78,18:50,'verizon.net',Ruokolahti,2020-01-13,4,50,0,1,7,Affiliates,google.com,chromium,mobile,apple,ios,1,1440 x 2560,deposits,3,100000000092
1000071,110,4:12,'cox.net',Tanggungrejo,2020-01-04,4,78,1,0,10,Affiliates,google.com,UC browser,tablet,samsung,android,0,1280x800,accounts,7,100000000093
1000326,434,6:51,'verizon.net',Fovissste,2020-02-16,2,99,1,1,9,Organic,google.com,UC browser,tablet,micromax,android,0,1366x768,insurance,3,100000000094
1000373,276,14:56,'att.net',Ryōtsu-minato,2020-03-02,4,91,0,0,7,Paid,google.com,brave,mobile,samsung,android,1,1440 x 2960,credit_card,8,100000000095
1000009,433,23:04,'cox.net',Norrtälje,2020-01-24,1,89,0,1,9,Paid,linkedin.com,UC browser,tablet,apple,ios,0,1280x800,accounts,3,100000000096
1000173,35,12:27,'cox.net',Silver Spring,2020-02-14,2,14,1,1,9,Affiliates,linkedin.com,chromium,tablet,apple,ios,0,1280x800,insurance,8,100000000097
1000349,567,1:39,'att.net',Ishkhoy-Yurt,2020-01-07,1,80,1,1,9,Display,linkedin.com,chromium,mobile,apple,ios,1,1080 x 1920,credit_card,10,100000000098
1000338,139,10:41,'comcastbusiness.net',Belverde,2020-02-19,3,82,1,0,9,Organic,youtube.com,brave,laptop,lenovo,windows,0,1536 x 2048,credit_card,1,100000000099
1000184,118,17:52,'att.net',Vila,2020-01-21,2,71,1,1,6,Direct,youtube.com,safari,mobile,samsung,android,1,1440 x 2560,loan,6,100000000100
1000332,456,20:01,'verizon.net',Duyun,2020-01-03,5,14,0,0,5,Paid,google.com,firefox,laptop,samsung,windows,0,800 x 1280,accounts,5,100000000101
1000107,413,17:33,'cox.net',Dalar,2020-01-11,2,32,1,1,9,Direct,linkedin.com,edge,laptop,lenovo,windows,0,800 x 1280,loan,2,100000000102
1000226,445,23:18,'comcast.net',Jieduo,2020-02-06,3,89,1,1,6,Display,google.com,brave,tablet,lenovo,android,0,1920x1080,accounts,7,100000000103
1000168,440,23:39,'att.net',Xiongzhang,2020-01-17,5,77,1,1,10,Direct,facebook.com,UC browser,laptop,samsung,windows,0,1200 x 1920,credit_card,4,100000000104
1000269,213,12:46,'verizon.net',Pasvalys,2020-01-31,5,45,1,0,10,Organic,linkedin.com,opera,laptop,apple,mac-os,0,1200 x 1920,deposits,7,100000000105
1000395,349,1:37,'att.net',Boñgalon,2020-01-21,5,84,0,1,7,Social,google.com,chromium,mobile,apple,ios,1,1440 x 2560,insurance,3,100000000106
1000308,88,13:55,'verizon.net',Kināna,2020-02-12,1,11,0,1,6,Direct,linkedin.com,firefox,tablet,apple,ios,0,1280x800,credit_card,7,100000000107
1000172,578,1:57,'comcastbusiness.net',Songkeng,2020-01-21,1,90,0,0,6,Direct,youtube.com,brave,mobile,lenovo,android,1,1440 x 2960,deposits,1,100000000108
1000217,531,23:08,'comcast.net',McKinley,2020-01-11,1,7,1,0,8,Direct,google.com,safari,laptop,micromax,ubuntu,0,1536 x 2048,deposits,3,100000000109
1000343,109,0:41,'hinet.net',Předměřice nad Labem,2020-02-04,3,72,0,1,7,Direct,linkedin.com,brave,laptop,lenovo,windows,0,800 x 1280,insurance,7,100000000110
1000001,520,15:37,'verizon.net',Ćićevac,2020-01-10,5,47,1,0,6,Paid,google.com,safari,laptop,lenovo,ubuntu,0,800 x 1280,accounts,1,100000000111
1000207,533,4:07,'hinet.net',Tangwang,2020-02-18,1,20,1,0,6,Organic,linkedin.com,safari,mobile,samsung,android,1,1080 x 1920,insurance,7,100000000112
1000224,459,12:57,'cox.net',Vagney,2020-02-15,3,71,0,1,6,Refferal,google.com,firefox,laptop,micromax,ubuntu,0,800 x 1280,credit_card,8,100000000113
1000049,538,5:33,'cox.net',Cuozhou,2020-01-08,4,70,0,0,10,Organic,linkedin.com,chromium,tablet,samsung,android,0,1366x768,credit_card,5,100000000114
1000160,113,4:51,'hinet.net',Cinunjang,2020-01-02,2,33,0,0,7,Refferal,google.com,opera,laptop,micromax,windows,0,800 x 1280,deposits,9,100000000115
1000334,142,8:03,'verizon.net',Shuiyang,2020-02-11,4,32,1,0,6,Direct,facebook.com,edge,mobile,lenovo,android,1,1080 x 1920,accounts,1,100000000116
1000060,404,21:31,'att.net',Breda,2020-01-19,4,62,0,0,7,Affiliates,youtube.com,chromium,tablet,lenovo,android,0,1366x768,credit_card,3,100000000117
1000104,282,16:20,'att.net',Mahuta,2020-03-02,5,98,0,1,5,Display,linkedin.com,chromium,mobile,lenovo,android,1,1440 x 2560,insurance,10,100000000118
1000211,391,1:09,'comcastbusiness.net',Konārak,2020-02-22,1,22,1,0,8,Organic,facebook.com,opera,tablet,micromax,android,0,1366x768,insurance,8,100000000119
1000220,170,14:58,'comcast.net',Xinmatou,2020-02-13,4,93,1,1,10,Refferal,linkedin.com,brave,mobile,lenovo,android,1,1440 x 2960,loan,5,100000000120
1000008,445,22:55,'hinet.net',Pengjia Zhaizi,2020-02-28,5,39,1,1,6,Display,youtube.com,UC browser,tablet,micromax,android,0,1920x1080,credit_card,1,100000000121
1000167,460,4:46,'cox.net',Xianghu,2020-02-02,2,74,0,1,7,Affiliates,linkedin.com,firefox,laptop,micromax,windows,0,1200 x 1920,loan,5,100000000122
1000096,244,16:00,'att.net',Changbao,2020-01-12,1,100,0,1,6,Affiliates,google.com,chromium,laptop,apple,mac-os,0,800 x 1280,deposits,6,100000000123
1000102,189,9:42,'verizon.net',Mooka,2020-01-02,3,32,0,0,10,Refferal,linkedin.com,opera,tablet,lenovo,android,0,1920x1080,accounts,10,100000000124
1000188,146,12:58,'comcast.net',Madrid,2020-01-18,4,77,0,1,10,Social,google.com,chrome,mobile,micromax,android,1,1440 x 2560,credit_card,5,100000000125
1000395,513,21:47,'hinet.net',Gludug,2020-03-01,3,33,0,0,6,Display,facebook.com,UC browser,laptop,lenovo,ubuntu,0,1536 x 2048,deposits,5,100000000126
1000370,545,22:54,'comcast.net',Charqueadas,2020-01-08,3,2,0,0,8,Organic,facebook.com,safari,laptop,samsung,windows,0,1536 x 2048,insurance,1,100000000127
1000149,577,18:29,'comcast.net',Richmond,2020-02-14,3,73,0,0,5,Paid,facebook.com,edge,laptop,apple,mac-os,0,1200 x 1920,loan,4,100000000128
1000270,424,7:12,'hinet.net',Tanjungbalai,2020-01-11,2,40,0,0,8,Affiliates,youtube.com,chromium,tablet,samsung,android,0,1280x800,deposits,10,100000000129
1000311,443,5:14,'cox.net',Dawan,2020-01-24,1,41,1,0,5,Display,linkedin.com,brave,mobile,apple,ios,1,1440 x 2960,insurance,3,100000000130
1000181,43,17:50,'att.net',Haguimit,2020-02-09,2,45,1,0,8,Affiliates,youtube.com,edge,laptop,samsung,windows,0,1536 x 2048,insurance,2,100000000131
1000046,290,1:02,'cox.net',Manadas,2020-01-14,5,72,0,0,10,Affiliates,linkedin.com,brave,tablet,apple,ios,0,1280x800,loan,9,100000000132
1000164,448,20:13,'comcast.net',Kwali,2020-02-07,1,98,0,1,5,Refferal,facebook.com,chromium,laptop,apple,mac-os,0,800 x 1280,credit_card,4,100000000133
1000058,153,22:55,'verizon.net',Arhust,2020-01-14,1,41,0,0,10,Social,linkedin.com,brave,mobile,samsung,android,1,1080 x 1920,accounts,3,100000000134
1000369,319,15:06,'comcast.net',Danyang,2020-03-01,3,4,1,0,10,Display,facebook.com,firefox,tablet,lenovo,android,0,1920x1080,insurance,4,100000000135
1000362,307,12:25,'att.net',Piteå,2020-03-02,3,91,1,1,6,Social,google.com,safari,mobile,samsung,android,1,1080 x 1920,loan,6,100000000136
1000216,258,20:51,'cox.net',Heung-hai,2020-01-22,2,72,0,1,7,Paid,youtube.com,safari,tablet,micromax,android,0,1366x768,insurance,2,100000000137
1000268,129,4:36,'comcastbusiness.net',Banes,2020-01-18,1,48,1,1,5,Social,youtube.com,firefox,mobile,lenovo,android,1,1080 x 1920,accounts,3,100000000138
1000396,217,13:11,'comcastbusiness.net',Yushikalasu,2020-02-26,4,74,1,0,9,Display,youtube.com,opera,mobile,apple,ios,1,1440 x 2560,credit_card,7,100000000139
1000050,80,1:43,'cox.net',Al Ḩudaydah,2020-02-04,2,73,1,1,5,Paid,facebook.com,UC browser,mobile,apple,ios,1,1080 x 1920,deposits,5,100000000140
1000100,152,22:14,'att.net',Carazinho,2020-01-07,2,33,1,0,9,Direct,linkedin.com,brave,tablet,lenovo,android,0,1280x800,accounts,4,100000000141
1000258,237,21:35,'verizon.net',Lengkongbarang,2020-02-01,5,28,0,0,10,Social,google.com,edge,tablet,apple,ios,0,1280x800,loan,2,100000000142
1000357,381,2:38,'att.net',Krasnyy Yar,2020-02-24,3,6,1,1,5,Organic,google.com,chromium,laptop,lenovo,windows,0,1200 x 1920,insurance,4,100000000143
1000153,24,13:46,'hinet.net',Sumenep,2020-02-07,4,97,0,1,8,Organic,linkedin.com,UC browser,mobile,samsung,android,1,1440 x 2960,accounts,7,100000000144
1000353,553,9:00,'cox.net',Korsze,2020-02-17,4,23,1,0,5,Paid,facebook.com,firefox,tablet,lenovo,android,0,1920x1080,accounts,7,100000000145
1000229,318,13:28,'comcastbusiness.net',Naḥf,2020-01-30,2,53,1,0,7,Display,linkedin.com,chromium,laptop,samsung,ubuntu,0,1200 x 1920,credit_card,4,100000000146
1000148,116,2:11,'cox.net',Rungis,2020-01-07,2,53,1,0,10,Paid,google.com,chrome,mobile,apple,ios,1,1440 x 2960,deposits,6,100000000147
1000358,379,14:11,'hinet.net',Xianglan,2020-01-16,4,28,1,0,5,Direct,facebook.com,brave,mobile,lenovo,android,1,1440 x 2960,insurance,1,100000000148
1000009,116,19:16,'comcastbusiness.net',Zhuravka,2020-02-24,5,17,1,1,6,Display,youtube.com,edge,laptop,apple,mac-os,0,1536 x 2048,loan,1,100000000149
1000228,28,5:48,'hinet.net',Tall Ḩamīs,2020-01-02,3,54,0,1,5,Paid,youtube.com,safari,laptop,samsung,windows,0,800 x 1280,credit_card,3,100000000150
1000080,487,9:53,'verizon.net',Gul’cha,2020-02-04,5,61,1,1,8,Affiliates,linkedin.com,firefox,mobile,apple,ios,1,1080 x 1920,deposits,1,100000000151
1000078,457,0:12,'verizon.net',Katsikás,2020-01-02,1,5,0,0,5,Display,google.com,safari,tablet,micromax,android,0,1280x800,insurance,7,100000000152
1000201,257,6:42,'cox.net',Rokoy,2020-02-20,4,11,1,1,7,Affiliates,facebook.com,UC browser,tablet,lenovo,android,0,1920x1080,deposits,7,100000000153
1000211,284,12:50,'att.net',Vallentuna,2020-02-28,5,93,1,0,9,Display,youtube.com,safari,tablet,micromax,android,0,1366x768,credit_card,9,100000000154
1000319,331,1:50,'hinet.net',Nueve de Julio,2020-02-09,2,90,0,0,10,Social,google.com,brave,tablet,apple,ios,0,1920x1080,insurance,2,100000000155
1000338,414,20:00,'cox.net',Aldeia da Mata,2020-01-06,5,46,1,0,6,Paid,youtube.com,firefox,laptop,lenovo,windows,0,1536 x 2048,loan,1,100000000156
1000035,398,23:26,'cox.net',Qitan,2020-02-28,4,29,0,0,7,Social,google.com,chrome,tablet,apple,ios,0,1280x800,credit_card,4,100000000157
1000210,433,12:53,'cox.net',Muaraenim,2020-01-03,3,24,0,0,7,Paid,google.com,opera,tablet,lenovo,android,0,1280x800,credit_card,5,100000000158
1000325,206,3:58,'cox.net',Legen,2020-01-06,2,52,1,0,8,Display,facebook.com,firefox,tablet,micromax,android,0,1366x768,credit_card,9,100000000159
